project_id,project_name,city,province,sector,contractor,project_value_cad,start_date,end_date,status,workers_on_site,safety_incidents,delay_days,inspector_name,approved
AB-2020-0144,Facility O144,Red Deer,Alberta,Commercial,PCL Construction,530092.18,2021-08-12,2023-04-21,Cancelled,118,1,35,R. Sharma,y
AB-2023-0107,Depot D107,Edmonton,Alberta,Oil & Gas,Fluor Canada,20486438.66,2023-08-19,2023-09-15,On Hold,106,0,148,R. Sharma,Yes
AB-2022-0158,Plaza C158,Medicine Hat,Alberta,Infrastructure,PCL Construction,11758106.26,2020-01-03,2020-11-15,Completed,217,1,,,Yes
AB-2023-0027,Facility B27,Medicine Hat,Alberta,Oil & Gas,Bird Construction,12391148.73,2023-01-13,2024-11-22,Completed,124,9,100,D. Kowalski,Yes
AB-2020-0116,Tower M116,Calgary,Alberta,Infrastructure,ATCO,8949201.46,2021-07-19,2021-08-18,Completed,200,11,125,,Yes
AB-2020-0092,Bridge O92,Fort McMurray,Alberta,Industrial,Bird Construction,2419647.34,2023-10-14,2023-03-27,Completed,53,7,119,,yes
AB-2021-0009,Overpass J9,Calgary,Alberta,Oil & Gas,Bird Construction,472509.13,2020-04-03,2020-06-03,On Hold,59,11,146,,No
AB-2023-0139,Pipeline J139,Red Deer,Alberta,Commercial,Bird Construction,14596037.52,2021-11-13,2022-03-19,Completed,120,12,23,,
AB-2021-0053,Overpass B53,Edmonton,Alberta,Industrial,Ledcor Group,5692954.84,2022-11-24,2024-05-19,Completed,32,7,,A. Mehta,No
AB-2020-0076,Bridge Y76,Fort McMurray,Alberta,Residential,Graham Construction,40752983.47,2021-07-03,2021-08-12,Cancelled,,3,20,A. Mehta,No
AB-2021-0177,Pipeline V177,Grande Prairie,Alberta,Industrial,ATCO,5705697.72,2020-04-12,2021-10-15,In Progress,146,2,66,R. Sharma,yes
AB-2020-0016,Pipeline Q16,Edmonton,Alberta,Residential,Graham Construction,27276617.74,2022-04-22,2024-05-17,In Progress,,4,,A. Mehta,Yes
AB-2020-0200,Facility S200,Grande Prairie,Alberta,Infrastructure,Fluor Canada,6347373.25,2022-12-18,2023-12-24,Completed,58,4,172,T. Leblanc,Yes
AB-2021-0065,Depot N65,Fort McMurray,Alberta,Residential,Bird Construction,27029724.32,2020-04-10,2020-03-25,On Hold,132,2,136,M. Al-Farsi,
AB-2023-0175,Overpass T175,Calgary,Alberta,Infrastructure,EllisDon,37951668.6,2020-04-05,2021-12-15,On Hold,111,1,54,,No
AB-2023-0123,Tower T123,Medicine Hat,Alberta,Residential,EllisDon,32132917.69,2020-05-05,2021-12-26,Completed,97,0,113,A. Mehta,yes
AB-2022-0042,Pipeline Q42,Grande Prairie,Alberta,Residential,ATCO,37147985.07,2020-11-28,,Completed,198,7,52,S. Benson,
AB-2021-0193,Facility L193,Grande Prairie,Alberta,Oil & Gas,Ledcor Group,39615768.56,2021-08-16,,On Hold,8,10,147,M. Al-Farsi,YES
AB-2021-0069,Tower R69,Blackfalds,Alberta,Residential,Fluor Canada,13731496.52,2022-10-02,2023-09-03,Cancelled,,4,23,,No
AB-2020-0052,Tower A52,Lethbridge,Alberta,Commercial,Stantec,41119890.81,2021-05-27,2022-05-24,In Progress,24,3,172,,
AB-2023-0015,Pipeline P15,Red Deer,Alberta,Infrastructure,PCL Construction,16723289.93,2021-08-27,2023-12-10,In Progress,7,8,169,R. Sharma,Yes
AB-2020-0172,Depot Q172,Red Deer,Alberta,Commercial,Bird Construction,5809442.04,2023-02-22,2024-04-27,In Progress,86,12,,,
AB-2022-0014,Facility O14,Grande Prairie,Alberta,Infrastructure,Bird Construction,14241146.25,2022-07-05,2024-11-10,In Progress,7,9,18,M. Al-Farsi,
AB-2022-0038,Bridge M38,Red Deer,Alberta,Commercial,Graham Construction,7170487.8,2023-08-23,,On Hold,184,1,67,M. Al-Farsi,y
AB-2022-0098,Depot U98,Calgary,Alberta,Commercial,Bird Construction,44915810.65,2023-09-13,2024-03-15,On Hold,178,11,177,S. Benson,No
AB-2023-0007,Bridge H7,Fort McMurray,Alberta,Oil & Gas,Bird Construction,34348609.38,2020-10-11,2021-01-04,In Progress,66,,20,R. Sharma,No
AB-2020-0028,Facility C28,Red Deer,Alberta,Industrial,Graham Construction,17152808.31,2021-08-11,2022-07-09,In Progress,218,0,13,A. Mehta,No
AB-2022-0134,Tower E134,Grande Prairie,Alberta,Residential,Bird Construction,8359546.65,2021-09-13,2022-10-05,Cancelled,167,10,44,T. Leblanc,No
AB-2020-0004,Plaza E4,Red Deer,Alberta,Industrial,ATCO,41653794.41,2021-11-11,,On Hold,21,9,80,M. Al-Farsi,No
AB-2021-0109,Facility F109,Edmonton,Alberta,Oil & Gas,Graham Construction,15747479.44,2021-09-13,2023-03-24,In Progress,,,172,,
AB-2022-0074,Facility W74,Red Deer,Alberta,Commercial,Graham Construction,34733736.95,2021-12-15,2021-07-12,In Progress,161,11,59,M. Al-Farsi,yes
AB-2021-0137,Highway H137,Blackfalds,Alberta,Oil & Gas,Bird Construction,4743377.28,2021-05-28,2021-08-09,In Progress,226,12,53,A. Mehta,y
AB-2020-0192,Facility K192,Medicine Hat,Alberta,Industrial,EllisDon,31092124.04,2023-07-21,2023-02-05,Completed,221,6,123,,Yes
AB-2021-0173,Facility R173,Grande Prairie,Alberta,Infrastructure,Fluor Canada,704516.31,2023-02-14,2023-03-19,In Progress,30,9,73,A. Mehta,y
