project_id,city,zone,sector,contractor,project_value_cad,workers_on_site,safety_incidents,near_misses,lost_time_incidents,delay_days,project_duration_days,approved,project_type,season_started,incident_rate,near_miss_rate
AB-2021-0202,Lethbridge,Southern,Industrial,Stantec,3622249.94,114.0,14.0,8.0,9,3,703,Yes,New Build,Summer,12.28,7.02
AB-2022-0203,Fort McMurray,Northern,Oil & Gas,Ledcor Group,36689112.93,14.0,2.0,7.0,2,10,293,Yes,Expansion,Fall,14.29,50.0
AB-2023-0204,Grande Prairie,Northern,Commercial,PCL Construction,26389268.7,272.0,2.0,16.0,2,25,383,Yes,Renovation,Fall,0.74,5.88
AB-2020-0206,Red Deer,Central,Residential,Graham Construction,17131013.26,12.0,1.0,9.0,1,58,620,No,Decommission,Spring,8.33,75.0
AB-2021-0207,Grande Prairie,Northern,Commercial,Fluor Canada,10968861.45,124.0,3.0,11.0,3,42,341,Yes,Renovation,Winter,2.42,8.87
AB-2022-0208,Red Deer,Central,Oil & Gas,Ledcor Group,41064479.72,245.0,13.0,9.0,8,118,142,Yes,Expansion,Fall,5.31,3.67
AB-2023-0209,Fort McMurray,Northern,Industrial,Graham Construction,41625851.5,20.0,4.0,3.0,2,91,38,Yes,Expansion,Winter,20.0,15.0
AB-2019-0210,Medicine Hat,Southern,Infrastructure,Graham Construction,43937065.48,233.0,6.0,11.0,4,26,35,Yes,Expansion,Spring,2.58,4.72
AB-2020-0211,Blackfalds,Central,Industrial,Bird Construction,46790781.62,24.0,0.0,10.0,0,43,102,Yes,Maintenance,Fall,0.0,41.67
AB-2023-0214,Grande Prairie,Northern,Infrastructure,ATCO,12062860.42,141.0,14.0,11.0,6,0,65,No,Maintenance,Summer,9.93,7.8
AB-2019-0215,Edmonton,Central,Commercial,Bird Construction,39734441.8,78.0,6.0,10.0,2,133,555,No,Expansion,Summer,7.69,12.82
AB-2020-0216,Blackfalds,Central,Commercial,Graham Construction,44245827.66,99.0,2.0,19.0,2,180,245,Yes,Renovation,Fall,2.02,19.19
AB-2022-0218,Blackfalds,Central,Infrastructure,Graham Construction,47705999.79,72.0,10.0,12.0,9,74,210,Yes,New Build,Spring,13.89,16.67
AB-2023-0219,Red Deer,Central,Commercial,Stantec,21609994.54,113.0,8.0,12.0,8,56,300,Yes,New Build,Summer,7.08,10.62
AB-2019-0220,Fort McMurray,Northern,Residential,EllisDon,40335329.59,300.0,9.0,4.0,4,162,471,No,New Build,Winter,3.0,1.33
AB-2020-0221,Red Deer,Central,Oil & Gas,ATCO,15894172.45,177.0,6.0,2.0,3,69,91,Yes,Expansion,Spring,3.39,1.13
AB-2021-0222,Lethbridge,Southern,Residential,ATCO,45773383.64,124.0,11.0,0.0,5,2,480,Yes,Maintenance,Spring,8.87,0.0
AB-2022-0223,Red Deer,Central,Oil & Gas,EllisDon,40156320.52,258.0,14.0,19.0,3,6,493,Yes,Maintenance,Spring,5.43,7.36
AB-2023-0224,Red Deer,Central,Oil & Gas,EllisDon,28929471.19,102.0,14.0,20.0,0,73,297,Yes,New Build,Summer,13.73,19.61
AB-2019-0225,Blackfalds,Central,Commercial,Fluor Canada,14159689.02,204.0,6.0,17.0,2,127,93,Yes,Renovation,Summer,2.94,8.33
AB-2020-0226,Grande Prairie,Northern,Residential,Fluor Canada,33125838.47,83.0,14.0,13.0,5,123,501,Yes,Expansion,Summer,16.87,15.66
AB-2021-0227,Fort McMurray,Northern,Industrial,Fluor Canada,29226411.15,190.0,2.0,6.0,2,38,620,Yes,Decommission,Summer,1.05,3.16
AB-2022-0228,Red Deer,Central,Oil & Gas,EllisDon,35584944.05,172.0,0.0,5.0,0,142,180,Yes,Renovation,Spring,0.0,2.91
AB-2023-0229,Fort McMurray,Northern,Commercial,Stantec,5267233.33,293.0,11.0,13.0,5,164,651,Yes,New Build,Summer,3.75,4.44
AB-2019-0230,Lethbridge,Southern,Commercial,Stantec,21236593.8,278.0,15.0,13.0,11,123,444,Yes,Decommission,Summer,5.4,4.68
AB-2020-0231,Grande Prairie,Northern,Residential,EllisDon,41125127.66,82.0,3.0,16.0,1,66,307,Yes,Decommission,Summer,3.66,19.51
AB-2021-0232,Blackfalds,Central,Residential,Ledcor Group,39362437.12,87.0,5.0,5.0,0,108,81,Yes,Decommission,Spring,5.75,5.75
AB-2022-0233,Lethbridge,Southern,Infrastructure,Bird Construction,6744165.59,111.0,13.0,9.0,9,109,391,Yes,Decommission,Spring,11.71,8.11
AB-2023-0234,Grande Prairie,Northern,Oil & Gas,Bird Construction,27283590.42,291.0,5.0,9.0,3,37,92,Yes,Decommission,Spring,1.72,3.09
AB-2019-0235,Edmonton,Central,Commercial,ATCO,14459165.69,233.0,13.0,0.0,13,7,257,Yes,Decommission,Fall,5.58,0.0
AB-2020-0236,Calgary,Southern,Industrial,ATCO,15058705.37,149.5,12.0,15.0,5,143,370,Yes,Maintenance,Spring,8.03,10.03
AB-2021-0237,Edmonton,Central,Commercial,PCL Construction,43268324.58,252.0,12.0,19.0,7,10,168,No,Expansion,Spring,4.76,7.54
AB-2022-0238,Edmonton,Central,Residential,Fluor Canada,14138391.95,107.0,3.0,4.0,3,59,408,Yes,Renovation,Fall,2.8,3.74
AB-2023-0239,Blackfalds,Central,Oil & Gas,Stantec,26009985.05,64.0,10.0,0.0,10,127,105,Yes,Renovation,Winter,15.62,0.0
AB-2020-0241,Lethbridge,Southern,Infrastructure,EllisDon,23648589.11,93.0,9.0,2.0,4,44,484,No,Expansion,Summer,9.68,2.15
AB-2021-0242,Fort McMurray,Northern,Commercial,Graham Construction,36125534.38,19.0,14.0,0.0,12,19,626,Yes,New Build,Summer,73.68,0.0
AB-2022-0243,Lethbridge,Southern,Residential,ATCO,49100690.14,149.5,7.0,19.0,4,199,540,Yes,Renovation,Spring,4.68,12.71
AB-2023-0244,Blackfalds,Central,Residential,EllisDon,17719552.26,133.0,5.0,8.0,1,165,423,Yes,Maintenance,Summer,3.76,6.02
AB-2019-0245,Edmonton,Central,Industrial,Bird Construction,46520850.66,269.0,1.0,1.0,0,138,183,Yes,Renovation,Fall,0.37,0.37
AB-2020-0246,Blackfalds,Central,Industrial,Stantec,31182991.45,5.0,11.0,7.0,0,196,262,Yes,Renovation,Spring,220.0,140.0
AB-2021-0247,Red Deer,Central,Residential,ATCO,31757867.37,254.0,10.0,4.0,7,33,535,Yes,Maintenance,Fall,3.94,1.57
AB-2022-0248,Calgary,Southern,Industrial,EllisDon,16962340.72,170.0,12.0,7.0,10,145,145,Yes,Maintenance,Spring,7.06,4.12
AB-2023-0249,Medicine Hat,Southern,Commercial,ATCO,11243582.29,202.0,0.0,9.0,0,144,172,Yes,New Build,Spring,0.0,4.46
AB-2019-0250,Edmonton,Central,Industrial,Stantec,43426976.31,286.0,4.0,1.0,4,78,648,No,New Build,Winter,1.4,0.35
