project_id,city,zone,sector,contractor,project_value_cad,workers_on_site,safety_incidents,near_misses,lost_time_incidents,delay_days,project_duration_days,approved,project_type,season_started
AB-2021-0222,Lethbridge,Southern,Residential,ATCO,45773383.64,124,11,0,5,2,480,Yes,Maintenance,Spring
AB-2022-0223,Red Deer,Central,Oil & Gas,EllisDon,40156320.52,258,14,19,3,6,493,Yes,Maintenance,Spring
AB-2023-0224,Red Deer,Central,Oil & Gas,EllisDon,28929471.19,102,14,20,0,73,297,Yes,New Build,Summer
AB-2019-0225,Blackfalds,Central,Commercial,Fluor Canada,14159689.02,204,6,17,2,127,93,Yes,Renovation,Summer
AB-2020-0226,Grande Prairie,Northern,Residential,Fluor Canada,33125838.47,83,14,13,5,123,501,Yes,Expansion,Summer
AB-2021-0227,Fort McMurray,Northern,Industrial,Fluor Canada,29226411.15,190,2,6,2,38,620,Yes,Decommission,Summer
AB-2022-0228,Red Deer,Central,Oil & Gas,EllisDon,35584944.05,172,0,5,0,142,180,Yes,Renovation,Spring
AB-2023-0229,Fort McMurray,Northern,Commercial,Stantec,5267233.33,293,11,13,5,164,651,Yes,New Build,Summer
AB-2019-0230,Lethbridge,Southern,Commercial,Stantec,21236593.8,278,15,13,11,123,444,Yes,Decommission,Summer
AB-2020-0231,Grande Prairie,Northern,Residential,EllisDon,41125127.66,82,3,16,1,66,307,Yes,Decommission,Summer
AB-2021-0232,Blackfalds,Central,Residential,Ledcor Group,39362437.12,87,5,5,0,108,81,Yes,Decommission,Spring
AB-2022-0233,Lethbridge,Southern,Infrastructure,Bird Construction,6744165.59,111,13,9,9,109,391,Yes,Decommission,Spring
AB-2023-0234,Grande Prairie,Northern,Oil & Gas,Bird Construction,27283590.42,291,5,9,3,37,92,Yes,Decommission,Spring
AB-2019-0235,Edmonton,Central,Commercial,ATCO,14459165.69,233,13,0,13,7,257,Yes,Decommission,Fall
AB-2020-0236,Calgary,Southern,Industrial,ATCO,15058705.37,,12,15,5,143,370,Yes,Maintenance,Spring
AB-2021-0237,Edmonton,Central,Commercial,PCL Construction,43268324.58,252,12,19,7,10,168,No,Expansion,Spring
AB-2022-0238,Edmonton,Central,Residential,Fluor Canada,14138391.95,107,3,4,3,59,408,Yes,Renovation,Fall
AB-2023-0239,Blackfalds,Central,Oil & Gas,Stantec,26009985.05,64,10,0,10,127,105,Yes,Renovation,Winter
AB-2019-0240,Lethbridge,Southern,Residential,Bird Construction,1079822.93,229,,11,5,177,433,Yes,New Build,Summer
AB-2020-0241,Lethbridge,Southern,Infrastructure,EllisDon,23648589.11,93,9,2,4,44,484,No,Expansion,Summer
AB-2021-0242,Fort McMurray,Northern,Commercial,Graham Construction,36125534.38,19,14,0,12,19,626,Yes,New Build,Summer
AB-2022-0243,Lethbridge,Southern,Residential,ATCO,49100690.14,,7,19,4,199,540,Yes,Renovation,Spring
AB-2023-0244,Blackfalds,Central,Residential,EllisDon,17719552.26,133,5,8,1,165,423,Yes,Maintenance,Summer
AB-2019-0245,Edmonton,Central,Industrial,Bird Construction,46520850.66,269,1,1,0,138,183,Yes,Renovation,Fall
AB-2020-0246,Blackfalds,Central,Industrial,Stantec,31182991.45,5,11,7,0,196,262,Yes,Renovation,Spring
AB-2021-0247,Red Deer,Central,Residential,ATCO,31757867.37,254,10,4,7,33,535,Yes,Maintenance,Fall
AB-2022-0248,Calgary,Southern,Industrial,EllisDon,16962340.72,170,12,7,10,145,145,Yes,Maintenance,Spring
AB-2023-0249,Medicine Hat,Southern,Commercial,ATCO,11243582.29,202,0,9,0,144,172,Yes,New Build,Spring
AB-2019-0250,Edmonton,Central,Industrial,Stantec,43426976.31,286,4,1,4,78,648,No,New Build,Winter
